"files" "churn" "linecount" "relchurn"
"175" "bootstrap/lib/stdlib/ebin/filelib.beam" 11 146 0.0753424657534247
"176" "bootstrap/lib/stdlib/ebin/filename.beam" 13 145 0.0896551724137931
"177" "bootstrap/lib/stdlib/ebin/gb_sets.beam" 8 83 0.0963855421686747
"178" "bootstrap/lib/stdlib/ebin/gb_trees.beam" 6 44 0.136363636363636
"179" "bootstrap/lib/stdlib/ebin/gen_event.beam" 15 291 0.0515463917525773
"180" "bootstrap/lib/stdlib/ebin/gen_fsm.beam" 14 204 0.0686274509803922
"181" "bootstrap/lib/stdlib/ebin/gen_server.beam" 17 237 0.0717299578059072
"182" "bootstrap/lib/stdlib/ebin/gen.beam" 10 72 0.138888888888889
"183" "bootstrap/lib/stdlib/ebin/io_lib_format.beam" 11 144 0.0763888888888889
"184" "bootstrap/lib/stdlib/ebin/io_lib_fread.beam" 7 116 0.0603448275862069
"185" "bootstrap/lib/stdlib/ebin/io_lib_pretty.beam" 11 160 0.06875
"186" "bootstrap/lib/stdlib/ebin/io_lib.beam" 13 170 0.0764705882352941
"187" "bootstrap/lib/stdlib/ebin/io.beam" 9 167 0.0538922155688623
"188" "bootstrap/lib/stdlib/ebin/lib.beam" 12 161 0.0745341614906832
"189" "bootstrap/lib/stdlib/ebin/lists.beam" 12 375 0.032
"190" "bootstrap/lib/stdlib/ebin/log_mf_h.beam" 7 22 0.318181818181818
"191" "bootstrap/lib/stdlib/ebin/math.beam" 5 14 0.357142857142857
"192" "bootstrap/lib/stdlib/ebin/ms_transform.beam" 13 502 0.0258964143426295
"193" "bootstrap/lib/stdlib/ebin/orddict.beam" 5 19 0.263157894736842
"194" "bootstrap/lib/stdlib/ebin/ordsets.beam" 5 15 0.333333333333333
"195" "bootstrap/lib/stdlib/ebin/otp_internal.beam" 20 220 0.0909090909090909
"196" "bootstrap/lib/stdlib/ebin/pg.beam" 5 20 0.25
"197" "bootstrap/lib/stdlib/ebin/pool.beam" 10 69 0.144927536231884
"198" "bootstrap/lib/stdlib/ebin/proc_lib.beam" 11 194 0.0567010309278351
"199" "bootstrap/lib/stdlib/ebin/proplists.beam" 7 65 0.107692307692308
"200" "bootstrap/lib/stdlib/ebin/qlc_pt.beam" 15 884 0.0169683257918552
"201" "bootstrap/lib/stdlib/ebin/qlc.beam" 14 1003 0.0139581256231306
"202" "bootstrap/lib/stdlib/ebin/queue.beam" 6 55 0.109090909090909
"203" "bootstrap/lib/stdlib/ebin/random.beam" 6 7 0.857142857142857
"204" "bootstrap/lib/stdlib/ebin/re.beam" 13 219 0.0593607305936073
"206" "bootstrap/lib/stdlib/ebin/sets.beam" 9 70 0.128571428571429
"207" "bootstrap/lib/stdlib/ebin/shell_default.beam" 4 85 0.0470588235294118
"208" "bootstrap/lib/stdlib/ebin/shell.beam" 16 576 0.0277777777777778
"209" "bootstrap/lib/stdlib/ebin/slave.beam" 5 72 0.0694444444444444
"210" "bootstrap/lib/stdlib/ebin/sofs.beam" 16 374 0.0427807486631016
"211" "bootstrap/lib/stdlib/ebin/stdlib.app" 14 105 0.133333333333333
