team,won,lost,min,fgm,fga,3m,3a,ftm,fta,or,tr,as,st,to,bk,pf,pts,tc,ej,ff,ws
HoustonRockets,57,25,19855,3037,6484,671,1839,1503,1992,927,3492,2013,685,1312,347,1610,8248,69,8,9,1
IndianaPacers,39,43,19930,2851,6254,430,1130,1687,2336,1029,3419,1750,585,1276,394,1977,7819,34,2,3,0
LAClippers,36,46,19930,2989,6696,474,1339,1517,2074,1092,3334,1662,733,1256,441,1964,7969,15,1,4,0
LALakers,56,26,19930,3018,6642,551,1493,1613,2330,1092,3506,1845,740,1181,575,1818,8200,28,3,4,1
MiamiHeat,61,21,19805,2822,6235,678,1865,1454,2022,957,3359,1735,650,1250,439,1919,7776,25,4,6,1
MilwaukeeBucks,33,49,19730,2967,6303,324,920,1560,2104,955,3218,1610,632,1239,348,1889,7818,26,2,7,0
MinnesotaT-wolves,40,42,19780,2937,6436,371,1093,1637,2180,957,3259,1874,618,1208,557,1818,7882,23,0,3,0
NJNets,26,56,19780,2994,7090,484,1371,1502,2031,1411,3786,1726,677,1229,481,1865,7974,36,3,3,0
NYKnicks,57,25,19855,2882,6227,470,1294,1585,2119,973,3489,1809,629,1422,378,2033,7819,68,5,8,1
OrlandoMagic,45,37,19855,2839,6497,567,1662,1474,1975,1071,3292,1689,694,1202,363,1643,7719,15,2,2,1
Philadelphia76ers,22,60,19780,3003,6850,433,1356,1776,2450,1267,3622,1695,683,1383,394,1733,8215,45,2,2,0
PhoenixSuns,40,42,19855,3143,6705,527,1428,1618,2125,917,3289,2067,664,1157,322,1727,8431,24,3,2,0
PortlandTrailBlazers,49,33,19855,3000,6465,501,1401,1613,2261,1058,3552,1712,640,1309,435,1926,8114,47,5,5,1
SacramentoKings,34,48,19855,3000,6611,414,1058,1494,2067,1100,3407,1799,588,1278,362,1946,7908,28,1,5,0
SanAntonioSpurs,20,62,19730,2827,6391,378,1180,1386,1929,1101,3230,1661,646,1182,431,1764,7418,23,2,7,0
SeattleSupersonics,57,25,19780,2995,6415,559,1583,1725,2295,1010,3281,1931,904,1201,388,1803,8274,44,5,3,1
TorontoRaptors,30,52,19830,2897,6633,589,1624,1446,2007,1135,3389,1714,722,1282,517,1883,7829,33,2,2,0
UtahJazz,64,18,19830,3131,6217,334,902,1858,2416,889,3299,2199,748,1218,418,1981,8454,43,4,4,1
VancouverGrizzlies,14,68,19780,2819,6453,445,1274,1230,1734,1023,3178,1862,657,1227,464,1755,7313,25,0,1,0
WashingtonBullets,44,38,19855,3208,6678,331,1001,1400,1979,1010,3430,1921,712,1259,402,1815,8147,30,2,3,1
